Index,Country Name,Total Area km^2,World share %,ISO3,EEZ Total km^2,total_area_km2,protected_area_km2,pct_protected,continent
1,Russia,17098242,11.00%,RUS,15461132.0,32559374.0,2494818.953,7.66,Europe
2,Canada,9984670,6.11%,CAN,11530860.0,21515530.0,1950868.7876820161,9.07,America
3,China,9706961,6.30%,CHN,2604790.0,12311751.0,237636.5254,1.93,Asia
4,United States,9372610,6.14%,USA,24334200.0,33706810.0,5541254.979689321,16.44,America
5,Brazil,8515767,5.61%,BRA,7355328.0,15871095.0,8946751.350533672,56.37,America
6,Australia,7692024,5.16%,AUS,17986926.0,25678950.0,2939502.467379538,11.45,Oceania
7,India,3287590,2.00%,IND,4647896.0,7935486.0,71974.31607,0.91,Asia
8,Argentina,2780400,1.84%,ARG,2150384.0,4930784.0,452131.8394752027,9.17,America
9,Kazakhstan,2724900,1.81%,KAZ,228766.0,2953666.0,284143.109,9.62,Asia
10,Algeria,2381741,1.60%,DZA,262386.0,2644127.0,176581.0886,6.68,Africa
11,DR Congo,2344858,1.52%,COD,26746.0,2371604.0,397014.6153688603,16.74,Africa
12,Greenland,2166086,0.28%,GRL,,,1007726.3642,,America
13,Saudi Arabia,2149690,1.44%,SAU,448314.0,2598004.0,477517.36716100003,18.38,Asia
14,Mexico,1964375,1.31%,MEX,6374026.0,8338401.0,1125241.0824255357,13.49,America
15,Indonesia,1904569,1.22%,IDN,12038410.0,13942979.0,390426.8332,2.8,Asia
16,Sudan,1886068,1.19%,SDN,165120.0,2051188.0,69541.99,3.39,Africa
17,Libya,1759540,1.18%,LBY,714772.0,2474312.0,4340.83,0.18,Africa
18,Iran,1648195,1.09%,IRN,431226.0,2079421.0,130374.24405000001,6.27,Asia
19,Mongolia,1564110,1.04%,MNG,,,330290.8698342142,,Asia
20,Peru,1285216,0.86%,PER,1741578.0,3026794.0,412641.97091789,13.63,America
21,Chad,1284000,0.85%,TCD,,,281124.06,,Africa
22,Niger,1267000,0.85%,NER,,,588671.4871,,Africa
23,Angola,1246700,0.84%,AGO,991732.0,2238432.0,96080.0,4.29,Africa
24,Mali,1240192,0.82%,MLI,,,112470.01,,Africa
25,South Africa,1221037,0.81%,ZAF,3095152.0,4316189.0,371964.7505225184,8.62,Africa
26,Colombia,1141748,0.74%,COL,1457672.0,2599420.0,596862.9794864526,22.96,America
27,Ethiopia,1104300,0.67%,ETH,,,172167.349109,,Africa
